timestamp,engine_version,EMA_SLOPE_LOOKBACK_SECONDS,EMA_SLOPE_HYSTERESIS_POINTS,VOLUME_HIGH_THRESHOLD,VOLUME_LOW_THRESHOLD,VOLUME_HYSTERESIS,VOLUME_PROJECTION_FLOOR_PCT,VOLUME_PROJECTION_MIN_ELAPSED_SECONDS,VOLUME_LOOKBACK_BARS,OI_FLAT_THRESHOLD_PCT,LEVEL_PROXIMITY_POINTS,BAR_SECONDS,VWAP_REJECTION_CLOSE_PCT
2026-08-11T09:20:01.969068+05:30,b3620733,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-12T09:20:01.581214+05:30,b3620733,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-13T09:58:30.865639+05:30,b3620733,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-14T09:15:00.000362+05:30,b3620733,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-17T09:15:00.000724+05:30,c6635eac,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-18T09:15:00.000855+05:30,fd8e6f05,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-19T09:15:00.000511+05:30,fd8e6f05,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-20T09:15:00.000928+05:30,fd8e6f05,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-24T09:15:00.000679+05:30,fd8e6f05,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
2026-08-25T10:01:56.519857+05:30,fd8e6f05,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0,0.5
