timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,vwap_pullback,vwap_rejection,setup,long_blocked_ema,short_blocked_ema,long_blocked_vwap,short_blocked_vwap,bar_start,current_price,open,high,low,close,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-14T09:15:00+05:30,WAIT,Neutral,Ignore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,2100.0,300.0,57864.705519932526,,,b3620733
2026-08-14T09:16:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Unknown,Unknown,Unknown,Unknown,None,None,,,,,,2026-08-14T09:15:00+05:30,57780.4,57780.4,57780.4,57780.4,57780.4,3630.0,2100.0,60.0,57849.377243581155,57780.4,-15.328276351370732,b3620733
2026-08-14T09:17:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Unknown,Unknown,Unknown,Unknown,Bullish,Bullish,,,,,,2026-08-14T09:15:00+05:30,57784.8,57780.4,57784.8,57780.4,57784.8,7470.0,2100.0,120.0,57850.17724358116,57782.66184738956,0.8000000000029104,b3620733
2026-08-14T09:19:00+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,High,Unknown,Unknown,Unknown,Unknown,Bearish,Bearish,,,,,,2026-08-14T09:15:00+05:30,57765.4,57780.4,57784.8,57765.4,57765.4,14760.0,2100.0,240.0,57846.64997085388,57779.8162601626,-3.23636363636615,b3620733
2026-08-14T09:20:00+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,High,Unknown,At,Below,Rejected,Bearish,Bearish,,,,,,2026-08-14T09:15:00+05:30,57753.6,57780.4,57784.8,57753.6,57753.6,18180.0,2956.5,300.0,57844.50451630843,57774.88448844884,-2.145454545454413,b3620733
2026-08-14T09:21:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Flat,Below,Below,Below,None,None,,,,,,2026-08-14T09:20:00+05:30,57728.2,57728.2,57728.2,57728.2,57728.2,3180.0,2956.5,60.0,57823.358240615984,57767.934269662925,-21.14627569244476,b3620733
2026-08-14T09:22:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Below,Below,Below,None,Bearish,,,,,pullback,2026-08-14T09:20:00+05:30,57717.4,57728.2,57728.2,57717.4,57717.4,6210.0,2956.5,120.0,57821.39460425235,57761.65633456335,-1.9636363636309397,b3620733
2026-08-14T09:24:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Rising,At,Below,Below,None,None,,,,,,2026-08-14T09:20:00+05:30,57745.6,57728.2,57745.6,57710.0,57745.6,8310.0,2956.5,240.0,57826.52187697963,57759.41585503964,6.4727272727323,b3620733
2026-08-14T09:25:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:20:00+05:30,57739.0,57728.2,57745.6,57710.0,57739.0,9660.0,3339.0,300.0,57825.32187697962,57758.425862068965,-1.2000000000043656,b3620733
2026-08-14T09:26:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Flat,Below,Below,Below,None,None,,,,,,2026-08-14T09:25:00+05:30,57725.0,57725.0,57725.0,57725.0,57725.0,1440.0,3339.0,60.0,57807.0815357106,57756.781967213115,-18.24034126902552,b3620733
2026-08-14T09:26:44+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Flat,Below,Below,Below,None,None,,,,,,2026-08-14T09:25:00+05:30,57725.0,57725.0,57725.0,57725.0,57725.0,1440.0,3339.0,104.0,57807.0815357106,57756.781967213115,-18.24034126902552,b3620733
2026-08-14T09:27:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:25:00+05:30,57727.8,57725.0,57727.8,57725.0,57727.8,2520.0,3339.0,120.0,57807.59062661969,57755.750988142296,0.509090909094084,b3620733
2026-08-14T09:28:28+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:25:00+05:30,57734.4,57725.0,57734.4,57725.0,57734.4,2880.0,3339.0,208.0,57808.79062661969,57755.50078125,1.1999999999970896,b3620733
2026-08-14T09:29:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:25:00+05:30,57725.0,57725.0,57734.4,57725.0,57725.0,4110.0,3339.0,240.0,57807.0815357106,57754.326572769955,-1.7090909090911737,b3620733
2026-08-14T09:29:56+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:25:00+05:30,57725.0,57725.0,57734.4,57725.0,57725.0,4110.0,3339.0,296.0,57807.0815357106,57754.326572769955,-1.7090909090911737,b3620733
2026-08-14T09:30:00+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,High,Rising,Below,Below,Below,None,Bearish,,,pullback,,pullback,2026-08-14T09:25:00+05:30,57712.6,57725.0,57734.4,57712.6,57712.6,6780.0,3606.0,300.0,57804.82699025606,57751.10849220104,-2.254545454539766,b3620733
2026-08-14T09:31:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:30:00+05:30,57679.8,57679.8,57679.8,57679.8,57679.8,12150.0,3606.0,60.0,57782.0948102095,57732.583835792175,-22.732180046557914,b3620733
2026-08-14T09:32:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Rising,Below,Below,Below,None,None,,,,,,2026-08-14T09:30:00+05:30,57704.6,57679.8,57704.6,57679.8,57704.6,15600.0,3606.0,120.0,57786.60390111859,57730.66140979689,4.509090909094084,b3620733
2026-08-14T09:34:00+05:30,ENTRY,Long,A+,Bullish,None,None,High,Rising,At,Below,Above,Bullish,Bullish,vwap,,,,,2026-08-14T09:30:00+05:30,57749.0,57679.8,57749.0,57679.8,57749.0,19050.0,3606.0,240.0,57794.67662839132,57731.17328116266,5.709090909091174,b3620733
2026-08-14T09:35:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Above,Below,Above,Bearish,None,,,,,rejection,2026-08-14T09:30:00+05:30,57725.0,57679.8,57749.0,57679.8,57725.0,19620.0,4542.0,300.0,57790.312992027684,57731.10840707965,-4.363636363632395,b3620733
2026-08-14T09:36:00+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Above,Below,Above,Bearish,None,,,,,,2026-08-14T09:35:00+05:30,57726.4,57726.4,57726.4,57726.4,57726.4,960.0,4542.0,60.0,57778.69244802265,57731.02652173913,-11.62054400503257,b3620733
2026-08-14T09:36:20+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Low,Flat,Above,Below,Above,Bearish,None,,,,,,2026-08-14T09:35:00+05:30,57726.4,57726.4,57726.4,57726.4,57726.4,960.0,4542.0,80.0,57778.69244802265,57731.02652173913,-11.62054400503257,b3620733
2026-08-14T09:37:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Below,Above,Bullish,Bullish,,,,,,2026-08-14T09:35:00+05:30,57747.6,57726.4,57747.6,57726.4,57747.6,1320.0,4542.0,120.0,57782.5469934772,57731.13390928726,3.854545454545587,b3620733
2026-08-14T09:39:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Above,Rejected,Above,Bullish,Bullish,,,,,,2026-08-14T09:35:00+05:30,57771.4,57726.4,57771.4,57726.4,57771.4,4290.0,4542.0,240.0,57786.87426620447,57732.91101998975,4.290909090908826,b3620733
2026-08-14T09:40:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,At,Below,Above,Bullish,None,,,,,,2026-08-14T09:35:00+05:30,57737.0,57726.4,57771.4,57726.4,57737.0,5400.0,4782.0,300.0,57780.61972074992,57732.98712273642,-6.254545454547042,b3620733
2026-08-14T09:41:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Above,Above,None,None,,,,,,2026-08-14T09:40:00+05:30,57776.8,57776.8,57776.8,57776.8,57776.8,450.0,4782.0,60.0,57779.92522606812,57733.31522715926,-0.694494681803917,b3620733
2026-08-14T09:44:00+05:30,WAIT,Neutral,Ignore,Neutral,Bearish,None,Low,Flat,Above,Below,Above,None,None,,,,,,2026-08-14T09:40:00+05:30,57745.0,57776.8,57776.8,57745.0,57745.0,1530.0,4782.0,240.0,57774.1434078863,57733.93281020108,-5.127272727266245,b3620733
2026-08-14T09:46:00+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Flat,Above,Rejected,Above,None,None,,,,,,2026-08-14T09:45:00+05:30,57770.0,57770.0,57770.0,57770.0,57770.0,840.0,4839.0,60.0,57773.39006099788,57734.46724470135,-0.7533468884212198,b3620733
2026-08-14T09:46:06+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Low,Flat,Above,Rejected,Above,None,None,,,,,,2026-08-14T09:45:00+05:30,57770.0,57770.0,57770.0,57770.0,57770.0,840.0,4839.0,66.0,57773.39006099788,57734.46724470135,-0.7533468884212198,b3620733
2026-08-14T09:47:00+05:30,WAIT,Neutral,Ignore,Neutral,Bullish,None,Normal,Flat,Above,Above,Above,None,Bullish,,,,,,2026-08-14T09:45:00+05:30,57790.0,57770.0,57790.0,57770.0,57790.0,1830.0,4839.0,120.0,57777.02642463425,57735.33617828355,3.636363636367605,b3620733
