timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,current_price,open,high,low,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-05T15:20:41.335607+05:30,WAIT,Neutral,Ignore,Unknown,None,Bullish,Low,Flat,Below,Below,Below,57835,57834.6,57839.6,57831.4,330,4023.0,41.311703,57812.77196148987,57978.94806631745,,b69f1c49
2026-08-05T15:21:46.651054+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Low,Flat,Below,Below,Below,57842.6,57834.6,57842.6,57831.4,1140,4023.0,106.651054,57814.15377967169,57978.75299357779,1.381818181820563,b69f1c49
2026-08-05T15:21:52.654938+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Flat,Below,Below,Below,57840.0,57834.6,57842.6,57831.4,1890,4023.0,112.65409,57813.68105239896,57978.573568509804,0.9090909090955392,b69f1c49
2026-08-05T15:21:55.642688+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,High,Flat,Below,Below,Below,57840.0,57834.6,57842.6,57831.4,2790,4023.0,115.642688,57813.68105239896,57978.35887000981,0.9090909090955392,b69f1c49
2026-08-05T15:22:05.668506+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,High,Falling,Below,Below,Below,57840.0,57834.6,57842.6,57831.4,2820,4023.0,125.668506,57813.68105239896,57978.35172485024,0.0,b69f1c49
2026-08-05T15:24:41.345926+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Falling,Below,Below,Below,57832.0,57834.6,57844.0,57831.4,5100,4023.0,281.345926,57812.22650694442,57977.8121090535,-2.1818181818161975,b69f1c49
2026-08-05T15:24:50.394245+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,High,Falling,Below,Below,Below,57838.0,57834.6,57844.0,57831.4,5220,4023.0,290.394245,57813.31741603532,57977.782421312484,-0.3636363636396709,b69f1c49
2026-08-05T15:24:58.395367+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Falling,Below,Below,Below,57832.0,57834.6,57844.0,57831.4,5250,4023.0,298.395367,57812.22650694442,57977.775160709694,-2.109090909085353,b69f1c49
2026-08-05T15:25:01.377535+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Flat,Below,Below,Below,57832.0,57832.0,57832.0,57832.0,0.0,3766.5,1.377535,57815.82168749998,57977.760168663546,1.4860896464742837,b69f1c49
2026-08-05T15:25:24.447551+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Unknown,Flat,Below,Below,Below,57835.6,57832.0,57835.6,57830.0,720.0,3766.5,24.446644,57816.47623295453,57977.57832674233,3.1224532828418887,b69f1c49
2026-08-05T15:25:30.452719+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Flat,Below,Below,Below,57830.0,57832.0,57835.6,57830.0,750.0,3766.5,30.447589,57815.458051136346,57977.57074774035,1.9224532828375231,b69f1c49
2026-08-05T15:26:03.575756+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Below,57823.2,57832.0,57835.6,57823.2,990.0,3766.5,63.574868,57814.22168749998,57977.50934291581,-1.5999999999985448,b69f1c49
