timestamp,engine_version,EMA_SLOPE_LOOKBACK_SECONDS,EMA_SLOPE_HYSTERESIS_POINTS,VOLUME_HIGH_THRESHOLD,VOLUME_LOW_THRESHOLD,VOLUME_HYSTERESIS,VOLUME_PROJECTION_FLOOR_PCT,VOLUME_PROJECTION_MIN_ELAPSED_SECONDS,VOLUME_LOOKBACK_BARS,OI_FLAT_THRESHOLD_PCT,LEVEL_PROXIMITY_POINTS,BAR_SECONDS
2026-08-05T15:20:41.335607+05:30,b69f1c49,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T09:30:53.706734+05:30,1904c465,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T09:48:42.964726+05:30,b735d454,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T10:00:12.121875+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T10:07:38.815156+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T10:17:07.295153+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T10:20:26.014641+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T10:40:56.755067+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T11:06:15.226784+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T11:29:29.996974+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T11:29:49.521650+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T11:35:56.621926+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T11:36:19.085676+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:06:02.680947+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:21:24.429045+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:22:44.108435+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:39:37.709604+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:39:56.249608+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:40:58.971070+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:48:13.196704+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T12:57:39.739484+05:30,9ab0b543,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T13:12:01.750074+05:30,8ac65853,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T13:19:37.699350+05:30,8ac65853,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T13:20:18.086082+05:30,8ac65853,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T13:22:56.109814+05:30,8ac65853,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
2026-08-06T13:45:47.235220+05:30,8ac65853,60,4.3,1.3,0.8,0.05,0.25,30.0,20,0.0005,10.0,300.0
