timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,long_blocked,short_blocked,bar_start,current_price,open,high,low,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-06T10:00:12.121875+05:30,WAIT,Neutral,Ignore,Unknown,None,None,Low,Falling,Above,Below,Above,,,2026-08-06T09:55:00+05:30,,58054.8,58054.8,58002,6510,8467.5,300.0,57981.86133870158,57982.17636859536,,9ab0b543
2026-08-06T10:00:13.063911+05:30,WAIT,Neutral,Ignore,Unknown,None,None,Unknown,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,58000.0,58000.0,58000.0,58000.0,0.0,8467.5,13.063911,57985.15927711948,57982.17636859536,,9ab0b543
2026-08-06T10:00:30.192577+05:30,WAIT,Neutral,Ignore,Unknown,None,Bullish,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57996,57990.4,57996,57990,90,8512.5,30.192577,57982.55762422691,57981.93779064158,,9ab0b543
2026-08-06T10:00:32.170645+05:30,WAIT,Neutral,Ignore,Unknown,None,None,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57990.2,57990.4,57996,57990,240,8512.5,32.170645,57981.503078772366,57981.95140655106,,9ab0b543
2026-08-06T10:00:37.170578+05:30,WAIT,Neutral,Ignore,Unknown,None,Bullish,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57990.8,57990.4,57996,57990,300,8512.5,37.170578,57981.61216968146,57981.95651839014,,9ab0b543
2026-08-06T10:00:39.172939+05:30,WAIT,Neutral,Ignore,Unknown,None,None,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57990.4,57990.4,57996,57990,330,8512.5,39.172939,57981.53944240873,57981.9589565887,,9ab0b543
2026-08-06T10:00:45.191575+05:30,WAIT,Neutral,Ignore,Unknown,None,Bullish,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57990.6,57990.4,57996,57990,330,8512.5,45.191575,57981.5758060451,57981.9589565887,,9ab0b543
2026-08-06T10:00:47.185255+05:30,WAIT,Neutral,Ignore,Unknown,Bullish,Bullish,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57990.6,57990.4,57996,57980.2,810,8512.5,47.184401,57981.5758060451,57981.99886940692,,9ab0b543
2026-08-06T10:00:53.167313+05:30,WAIT,Neutral,Ignore,Unknown,Bearish,Bearish,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57961.0,57990.4,57996,57961.0,810,8512.5,53.167313,57976.19398786328,57981.99886940692,,9ab0b543
2026-08-06T10:01:14.121313+05:30,WAIT,Neutral,Ignore,Unknown,Bullish,None,Low,Flat,Above,Below,Above,,,2026-08-06T10:00:00+05:30,57985.0,57990.4,57996,57961.0,1320,8512.5,74.121313,57980.55762422691,57981.95179252479,,9ab0b543
